"City","Date","schoolhols","school.hols"
"1","Adelaide",2004-01-01,"1","4"
"2","Brisbane",2004-01-01,"1","4"
"3","Canberra",2004-01-01,"1","4"
"4","Darwin",2004-01-01,"1","4"
"5","Hobart",2004-01-01,"1","4"
"6","Melbourne",2004-01-01,"1","4"
"7","Perth",2004-01-01,"1","4"
"8","Sydney",2004-01-01,"1","4"
"9","Adelaide",2004-01-02,"1","4"
"10","Brisbane",2004-01-02,"1","4"
"11","Canberra",2004-01-02,"1","4"
"12","Darwin",2004-01-02,"1","4"
"13","Hobart",2004-01-02,"1","4"
"14","Melbourne",2004-01-02,"1","4"
"15","Perth",2004-01-02,"1","4"
"16","Sydney",2004-01-02,"1","4"
"17","Adelaide",2004-01-03,"1","4"
"18","Brisbane",2004-01-03,"1","4"
"19","Canberra",2004-01-03,"1","4"
"20","Darwin",2004-01-03,"1","4"
"21","Hobart",2004-01-03,"1","4"
"22","Melbourne",2004-01-03,"1","4"
"23","Perth",2004-01-03,"1","4"
"24","Sydney",2004-01-03,"1","4"
"25","Adelaide",2004-01-04,"1","4"
"26","Brisbane",2004-01-04,"1","4"
"27","Canberra",2004-01-04,"1","4"
"28","Darwin",2004-01-04,"1","4"
"29","Hobart",2004-01-04,"1","4"
"30","Melbourne",2004-01-04,"1","4"
"31","Perth",2004-01-04,"1","4"
"32","Sydney",2004-01-04,"1","4"
"33","Adelaide",2004-01-05,"1","4"
"34","Brisbane",2004-01-05,"1","4"
"35","Canberra",2004-01-05,"1","4"
"36","Darwin",2004-01-05,"1","4"
"37","Hobart",2004-01-05,"1","4"
"38","Melbourne",2004-01-05,"1","4"
"39","Perth",2004-01-05,"1","4"
"40","Sydney",2004-01-05,"1","4"
"41","Adelaide",2004-01-06,"1","4"
"42","Brisbane",2004-01-06,"1","4"
"43","Canberra",2004-01-06,"1","4"
"44","Darwin",2004-01-06,"1","4"
"45","Hobart",2004-01-06,"1","4"
"46","Melbourne",2004-01-06,"1","4"
"47","Perth",2004-01-06,"1","4"
"48","Sydney",2004-01-06,"1","4"
"49","Adelaide",2004-01-07,"1","4"
"50","Brisbane",2004-01-07,"1","4"
"51","Canberra",2004-01-07,"1","4"
"52","Darwin",2004-01-07,"1","4"
"53","Hobart",2004-01-07,"1","4"
"54","Melbourne",2004-01-07,"1","4"
"55","Perth",2004-01-07,"1","4"
"56","Sydney",2004-01-07,"1","4"
"57","Adelaide",2004-01-08,"1","4"
"58","Brisbane",2004-01-08,"1","4"
"59","Canberra",2004-01-08,"1","4"
"60","Darwin",2004-01-08,"1","4"
"61","Hobart",2004-01-08,"1","4"
"62","Melbourne",2004-01-08,"1","4"
"63","Perth",2004-01-08,"1","4"
"64","Sydney",2004-01-08,"1","4"
"65","Adelaide",2004-01-09,"1","4"
"66","Brisbane",2004-01-09,"1","4"
"67","Canberra",2004-01-09,"1","4"
"68","Darwin",2004-01-09,"1","4"
